id,NAME,county,per_2011,per_2012,per_2013,per_2014,per_2015,per_2016,per_2017,per_2018,per_2019,per_2020
1,Alameda,Alameda,8.2,7.9,7.5,8.4,7.5,7.7,6.3,6.6,7.1,7.4
2,Alpine,Alpine,8.5,7.5,7.2,7.6,7.1,7.6,6.7,7.3,7.4,7.4
3,Amador,Amador,7.9,6.4,6.6,7.6,6.8,9,8.5,8.3,8.2,7.4
4,Butte,Butte,9.1,8.4,9.1,8.9,8.5,8,8.2,8.9,7.4,6.7
5,Calaveras,Calaveras,7.9,7,7,7.5,7.6,8.6,7.3,7.2,7,6.5
6,Colusa,Colusa,7.3,6.9,7.3,7.4,7.3,7.9,7.2,7.1,7.2,6.9
7,Contra_Costa,Contra_Costa,7.4,7.3,8.4,8.3,8.1,7.9,7.6,7.6,8.7,8.7
8,Del_Norte,Del_Norte,8.2,7.3,7.4,7.1,7.2,7.4,7.1,8.1,7.7,7.4
9,El_Dorado,El_Dorado,8,6.4,6.1,5.9,6.7,6.2,6.6,6.4,7.3,7.1
10,Fresno,Fresno,9.4,8.8,9.7,10,10.8,11,10.7,9.6,11,10.6
11,Glenn,Glenn,7.5,7.4,8,7.3,7.2,7.7,6.5,7,7.6,7.3
12,Humboldt,Humboldt,8.5,7.8,8.4,8.1,7.1,8.8,7.6,7.4,7.2,7.3
13,Imperial,Imperial,8.6,7.5,9.8,9.5,10.9,9.3,8.6,9.5,9.3,8.7
14,Inyo,Inyo,7.6,7.5,7.2,7.2,7.3,7.6,6.8,7.1,7.7,7.3
15,Kern,Kern,8.6,9.4,9.7,9.9,10.3,9.6,9.6,10.5,10.5,10.5
16,Kings,Kings,9.1,7.2,8,7.7,7.7,8.8,9.7,10.5,10,9.9
17,Lake,Lake,8.6,7.9,8.6,8,9.4,7.9,8.3,8.2,8.4,7.7
18,Lassen,Lassen,9.7,6.9,8,7.4,8.1,7.7,7.8,7.7,7.9,7.8
19,Los_Angeles,Los_Angeles,8.3,8.8,8.9,9.5,9.1,8.8,8.3,9.1,9,8.8
20,Madera,Madera,8.7,6.8,8.1,7.4,7.9,8.9,9.1,9.4,9.1,9.2
21,Marin,Marin,6.4,5.9,5.5,6.1,4.9,5.9,5,5.9,6.1,7
22,Mariposa,Mariposa,7.8,7.7,7.3,7.8,6.7,7.4,6.7,7.4,7,6.9
23,Mendocino,Mendocino,8.3,6.9,7.6,7.4,6.8,7.1,6.4,8.3,7.5,7.1
24,Merced,Merced,8.9,9.1,10.6,8.9,10.6,11.1,12.1,11.3,8.9,9.3
25,Modoc,Modoc,7.5,7,7,7.2,6.8,7.3,7.3,7.5,7.4,7.1
26,Mono,Mono,7.3,6.6,6.5,7.2,6.8,7.2,6.3,6.8,7.2,7
27,Monterey,Monterey,7.8,7.3,7.8,7.9,7.2,8,8.9,8.2,8.4,8.8
28,Napa,Napa,9.7,6.7,6.2,7.7,7.2,6.8,7.7,7.5,8.5,7.5
29,Nevada,Nevada,7.1,5.5,5.2,6.3,7,6.2,5.3,5.1,6,5.7
30,Orange,Orange,7.7,7.4,7.3,7.5,7.5,8.3,8.1,8,9.1,8.5
31,Placer,Placer,7,7.1,7.1,7.3,6,6.3,6.1,6,6.1,6.3
32,Plumas,Plumas,7.6,7,6.7,7.3,7.6,7.3,6.9,6.9,7.8,7.1
33,Riverside,Riverside,8.9,8.4,9,8.7,8.9,8.6,9.2,9.6,9.4,9.3
34,Sacramento,Sacramento,9.2,8,7.7,8.5,8.6,8.7,9.1,8.8,9,8.6
35,San_Benito,San_Benito,11.3,6.4,6.8,7.4,7.5,8.1,7.3,7.8,7.8,7.8
36,San_Bernardino,San_Bernardino,9,10,9.8,9.7,9.4,9.6,10,11.1,10,10.2
37,San_Diego,San_Diego,8,7.7,7.1,8.4,7.3,7.6,7.4,7.8,7.6,7.4
38,San_Francisco,San_Francisco,7.6,7.2,6.2,7.4,7.6,7.1,6.2,6.6,8.8,9.2
39,San_Joaquin,San_Joaquin,8.9,8.7,11.2,9.3,10.4,9.3,9.1,9.9,9.3,8.8
40,San_Luis_Obispo,San_Luis_Obispo,6.6,6.8,7.8,7.4,5.7,6.6,6.9,7.8,7.3,7
41,San_Mateo,San_Mateo,7.2,6.8,6.7,7.6,7.3,7.3,6.8,7.4,8.5,8.3
42,Santa_Barbara,Santa_Barbara,7.5,6.2,7,7.2,8.2,8.5,8.6,6.8,7.5,7.3
43,Santa_Clara,Santa_Clara,7.8,7.3,7.6,8,7.5,7.9,7.3,8.3,8.6,8.5
44,Santa_Cruz,Santa_Cruz,7.8,6.1,6.1,6.8,7.9,7.4,6.9,5.7,7.3,7.8
45,Shasta,Shasta,8.2,8.4,7.6,7.6,7.2,7.9,8.2,8,7,7.1
46,Sierra,Sierra,7.7,6.8,6.7,7,6.8,7.1,6.3,6.9,7.3,6.8
47,Siskiyou,Siskiyou,9.1,6.3,6.5,6.6,7.7,7.8,7.3,6.6,7.6,6.9
48,Solano,Solano,9.3,8.9,8.7,9.1,9.6,10.4,8.8,8.1,7.9,9.4
49,Sonoma,Sonoma,6.7,5.8,6.5,7.5,7.1,6.3,6.3,7.8,6.5,6.6
50,Stanislaus,Stanislaus,8.3,9,9.5,9.4,9.9,10.3,10.9,9.4,10.2,9
51,Sutter,Sutter,8,8.2,7.5,7.6,7.5,7.5,8.2,9.6,9,8.5
52,Tehama,Tehama,7.8,6.8,9.2,9.2,7.5,7.3,7.5,7.7,8.4,7.1
53,Trinity,Trinity,8.4,7,6.8,7.6,7.4,7.5,6.6,6.9,7.1,7.1
54,Tulare,Tulare,8.5,7.3,7.8,8.3,8.5,10.8,10.3,10.2,9.9,10.2
55,Tuolumne,Tuolumne,7.4,7.6,8.1,7.7,6.8,6.7,6.6,6.7,7.9,7.6
56,Ventura,Ventura,7.5,6.8,7.5,7.2,7.5,7.9,8.9,7.6,7.8,7.5
57,Yolo,Yolo,8.3,6.8,7.3,7.2,6.8,7.4,6.8,7.8,9.2,9
58,Yuba,Yuba,10.3,7.6,8.1,7.1,7.9,8.3,7.4,8,7.5,7.7
